ID PDC local_x,Statut du Point de charge,Arrondissement_x,ID Station local,ID Station itinérance,Nom station,Code INSEE commune_x,Type implantation,Nombre point de recharge,Date mise à jour,Conditions d'accès,Adresse station_x,Paiement CB,Tarification,Date mise en service,Accessibilité PMR,Restriction gabarit,Stationnement 2 roues,Puissance max KW,Horaires,Statut du point de recharge,URL Description Point de charge,Heure mise à jour,latitude,longitude
FR*V75*EPX19*14*5,En service,19e Arrondissement,FR*V75*PPX19*14,FRV75PPX1914,Paris | Rue Jules Romains 1,75119.0,Voirie,5,2021-09-23,Accès libre,1 Rue Jules Romains 75019 Paris,True,https://belib.paris,2021-11-03,Non accessible,aucune restriction,False,7.0,24/7,Occupé (en charge),https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX09*05*3,2022-12-02T15:02:19+01:00,48.87274,2.3782985
FR*V75*EPX20*18*1,En service,20e Arrondissement,FR*V75*PPX20*18,FRV75PPX2018,Paris | Rue Sorbier 40,75120.0,Voirie,5,2021-09-23,Accès libre,40 Rue Sorbier 75020 Paris,True,https://belib.paris,2021-12-01,Non accessible,aucune restriction,False,7.0,24/7,Occupé (en charge),https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX16*22*5,2022-12-02T15:01:51+01:00,48.865685,2.392972
FR*V75*EPX20*18*5,En service,20e Arrondissement,FR*V75*PPX20*18,FRV75PPX2018,Paris | Rue Sorbier 40,75120.0,Voirie,5,2021-09-23,Accès libre,40 Rue Sorbier 75020 Paris,True,https://belib.paris,2021-12-01,Non accessible,aucune restriction,False,7.0,24/7,Disponible,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX15*15*4,2022-12-02T14:58:28+01:00,48.865685,2.392972
FR*V75*EPX20*19*6,En service,20e Arrondissement,FR*V75*PPX20*19,FRV75PPX2019,Paris | Rue des Pyrénées 137,75120.0,Voirie,6,2021-09-23,Accès libre,137 Rue des Pyrénées 75020 Paris,True,https://belib.paris,2021-11-03,Réservé PMR,aucune restriction,False,7.0,24/7,Disponible,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9006*04*2,2022-12-02T15:02:01+01:00,48.85844,2.402911
FR*V75*EPX15*37*5,En service,15e Arrondissement,FR*V75*PPX15*37,FRV75PPX1537,Paris | Place du Commerce 5,75115.0,Voirie,5,2021-09-23,Accès libre,5 Place du Commerce 75015 Paris,True,https://belib.paris,2021-11-09,Non accessible,aucune restriction,False,7.0,24/7,Disponible,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX05*09*3,2022-12-02T15:02:50+01:00,48.84545,2.292136
FR*V75*EPX16*31*3,En test,16e Arrondissement,FR*V75*PPX16*31,FRV75PPX1631,Paris | Avenue Marceau  59,75116.0,Voirie,5,2021-09-27,Accès libre,59 Avenue Marceau 75016 Paris,True,https://belib.paris,unknown,Non accessible,aucune restriction,False,7.0,24/7,Disponible,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX02*06*3,2022-12-02T14:59:32+01:00,48.869892,2.2976446
FR*V75*EHBSAG*LOB*05*1,En service,Paris centre,FR*V75*PHBSAG*LOB,FRV75PHBSAGLOB,Paris | SAGS Parking Lobau,75104.0,Parking public,21,2022-07-29,Accès libre,4 Rue de Lobau 75004 Paris,True,https://belib.paris,2022-08-08,Non accessible,Hauteur maximale 1.90m,False,43.0,24/7,Disponible,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9014*01*3,2022-12-02T15:05:37+01:00,48.856796,2.3538697
FR*V75*E9007*02*2,En service,07e Arrondissement,FR*V75*P9007*02,FRV75P900702,Paris | Avenue de Saxe 10,75107.0,Voirie,3,2021-09-23,Accès libre,10 Avenue de Saxe 75007 Paris,False,https://belib.paris,2021-03-15,Non accessible,aucune restriction,False,4.0,24/7,Occupé (en charge),https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX11*10*4,2022-12-02T15:05:53+01:00,48.84975,2.3074996
FR*V75*E9001*02*2,En service,Paris centre,FR*V75*P9001*02,FRV75P900102,Paris | Rue de L'Amiral De Coligny 1,75101.0,Voirie,3,2021-09-23,Accès libre,1 Rue de L'Amiral De Coligny 75001 Paris,False,https://belib.paris,2021-03-15,Non accessible,aucune restriction,False,4.0,24/7,Disponible,https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX13*18*4,2022-12-02T09:24:42+01:00,48.86003,2.34046
FR*V75*E9008*04*1,En service,08e Arrondissement,FR*V75*P9008*04,FRV75P900804,Paris | Rue Pierre Charron 55,75108.0,Voirie,3,2021-09-23,Accès libre,55 Rue Pierre Charron 75008 Paris,False,https://belib.paris,2021-03-15,Non accessible,aucune restriction,False,22.0,24/7,Occupé (en charge),https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX16*29*4,2022-12-02T08:56:39+01:00,48.86937,2.303269
