,Arrondissement_x,Code INSEE commune_x,Type implantation,Nombre point de recharge,Paiement CB,Accessibilité PMR,Restriction gabarit,Stationnement 2 roues,Puissance max KW,Statut du point de recharge,Type de chargeur,latitude,longitude,Arrondissement_x_encode,Type implantation_encode,Paiement CB_encode,Accessibilité PMR_encode,Restriction gabarit_encode,Stationnement 2 roues_encode,Statut du point de recharge_encode,Type de chargeur_encode
628,13e Arrondissement,75113.0,Voirie,3,False,Non accessible,aucune restriction,False,4.0,Disponible,Prise type EF,48.8355,2.34965,8,1,0,0,1,0,0,3
629,13e Arrondissement,75113.0,Voirie,3,False,Non accessible,aucune restriction,False,22.0,Disponible,Prise type EF,48.82604,2.358146,8,1,0,0,1,0,0,3
630,15e Arrondissement,75115.0,Voirie,3,False,Non accessible,aucune restriction,False,4.0,Occupé (en charge),Prise type EF,48.841663,2.286931,10,1,0,0,1,0,1,3
631,16e Arrondissement,75116.0,Voirie,3,False,Non accessible,aucune restriction,False,4.0,Disponible,Prise type EF,48.876163,2.286403,11,1,0,0,1,0,0,3
632,16e Arrondissement,75116.0,Voirie,3,False,Non accessible,aucune restriction,False,4.0,Disponible,Prise type EF,48.859184,2.273944,11,1,0,0,1,0,0,3
633,16e Arrondissement,75116.0,Voirie,3,False,Non accessible,aucune restriction,False,22.0,Disponible,Prise type EF,48.846653,2.258213,11,1,0,0,1,0,0,3
634,16e Arrondissement,75116.0,Voirie,3,False,Non accessible,aucune restriction,False,4.0,Disponible,Prise type EF,48.84676,2.268339,11,1,0,0,1,0,0,3
635,18e Arrondissement,75118.0,Voirie,3,False,Non accessible,aucune restriction,False,22.0,Occupé (en charge),Prise type EF,48.889732,2.33891,13,1,0,0,1,0,1,3
636,19e Arrondissement,75119.0,Voirie,3,False,Non accessible,aucune restriction,False,22.0,Occupé (en charge),Prise type EF,48.88901,2.371768,14,1,0,0,1,0,1,3
637,20e Arrondissement,75120.0,Voirie,3,False,Non accessible,aucune restriction,False,4.0,Disponible,Prise type EF,48.874134,2.405196,15,1,0,0,1,0,0,3
638,19e Arrondissement,75120.0,Voirie,3,False,Non accessible,aucune restriction,False,22.0,Disponible,Prise type EF,48.872906,2.378283,14,1,0,0,1,0,0,3
639,20e Arrondissement,75120.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.85006,2.4019644,15,1,1,0,1,0,1,3
640,05e Arrondissement,75105.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.84196,2.347262,0,1,1,0,1,0,0,3
641,15e Arrondissement,75115.0,Voirie,7,True,Non accessible,aucune restriction,True,3.0,Disponible,Prise type EF,48.8326,2.2788854,10,1,1,0,1,1,0,3
642,20e Arrondissement,75120.0,Voirie,7,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.87559,2.399738,15,1,1,0,1,0,0,3
643,20e Arrondissement,75120.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.86732,2.3906963,15,1,1,0,1,0,0,3
644,12e Arrondissement,75112.0,Voirie,5,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.83641,2.3922555,7,1,1,0,1,0,0,3
645,10e Arrondissement,75110.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.875076,2.3587236,5,1,1,0,1,0,0,3
646,11e Arrondissement,75111.0,Voirie,5,True,Non accessible,aucune restriction,True,3.0,Occupé (en charge),Prise type EF,48.857796,2.390264,6,1,1,0,1,1,1,3
647,11e Arrondissement,75111.0,Voirie,4,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.857258,2.37139,6,1,1,0,1,0,0,3
648,11e Arrondissement,75111.0,Voirie,6,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.86023,2.3719914,6,1,1,0,1,0,1,3
649,13e Arrondissement,75113.0,Voirie,5,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.826855,2.3665764,8,1,1,0,1,0,1,3
650,13e Arrondissement,75113.0,Voirie,5,True,Non accessible,aucune restriction,False,7.0,Occupé (en charge),Prise type EF,48.826855,2.3665764,8,1,1,0,1,0,1,3
651,13e Arrondissement,75113.0,Voirie,5,True,Non accessible,aucune restriction,False,7.0,Disponible,Prise type EF,48.826855,2.3665764,8,1,1,0,1,0,0,3
