;Statut du Point de charge;Arrondissement_x;ID Station local;ID Station itineerance;Nom station;Code INSEE commune_x;Type implantation;Nombre point de recharge;Date mise e  jour;Conditions d acces;Adresse station_x;Paiement CB;Tarification;Date mise en service;Accessibilitee PMR;Restriction gabarit;Stationnement 2 roues;Puissance max KW;Horaires;Type de chargeur;latitude;longitude;ID PDC local;Statut du point de recharge;URL Description Point de charge;Heure mise e  jour;Coordonneees geeographiques
1339;En service;13e Arrondissement;FR*V75*PPX13*18;FRV75PPX1318;Paris | boulevard Vincent Auriol 143;75113.0;Voirie;6;23/09/2021;Acces libre;143 boulevard Vincent Auriol 75013 Paris;TRUE;https://belib.paris;26/10/2021;Non accessible;aucune restriction;FALSE;3.0;24-juil;Prise type EF;48.832825;2.36241;FR*V75*E9005*01*2;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9005*01*2;2022-12-02T04:30:04+01:00;48.845715,2.345032
1340;En service;14e Arrondissement;FR*V75*PPX14*10;FRV75PPX1410;Paris | Rue Henri Barbusse 66;75114.0;Voirie;6;27/04/2022;Acces libre;66 Rue Henri Barbusse 75014 Paris;TRUE;https://belib.paris;26/10/2021;Non accessible;aucune restriction;FALSE;7.0;24-juil;Prise type EF;48.83912;2.337229;FR*V75*E9011*01*3;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9011*01*3;2022-12-02T04:30:04+01:00;48.85895,2.379874
1341;En service;14e Arrondissement;FR*V75*PPX14*10;FRV75PPX1410;Paris | Rue Henri Barbusse 66;75114.0;Voirie;6;27/04/2022;Acces libre;66 Rue Henri Barbusse 75014 Paris;TRUE;https://belib.paris;26/10/2021;Non accessible;aucune restriction;FALSE;7.0;24-juil;Prise type EF;48.83912;2.337229;FR*V75*E9012*01*3;Inconnu;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*E9012*01*3;2022-12-02T04:30:04+01:00;48.834084,2.405248
1342;En service;14e Arrondissement;FR*V75*PPX14*12;FRV75PPX1412;Paris | Rue Raymond Losserand 145;75114.0;Voirie;7;23/09/2021;Acces libre;145 Rue Raymond Losserand 75014 Paris;TRUE;https://belib.paris;19/10/2021;Non accessible;aucune restriction;FALSE;7.0;24-juil;Prise type EF;48.83126;2.313088;FR*V75*EPX04*04*6;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX04*04*6;2022-12-02T04:30:04+01:00;48.848423,2.366004
1343;En service;15e Arrondissement;FR*V75*PPX15*32;FRV75PPX1532;Paris | Rue Olier 15;75115.0;Voirie;6;23/09/2021;Acces libre;15 Rue Olier 75015 Paris;TRUE;https://belib.paris;03/11/2021;Non accessible;aucune restriction;FALSE;7.0;24-juil;Prise type EF;48.835197;2.2914295;FR*V75*EPX06*03*1;Occupee (en charge);https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX06*03*1;2022-12-02T04:30:04+01:00;48.84737,2.3182092
1344;En service;16e Arrondissement;FR*V75*PPX16*23;FRV75PPX1623;Paris | Avenue Victor Hugo 18;75116.0;Voirie;6;23/09/2021;Acces libre;18 Avenue Victor Hugo 75016 Paris;TRUE;https://belib.paris;09/11/2021;Non accessible;aucune restriction;FALSE;7.0;24-juil;Prise type EF;48.87244;2.2915578;FR*V75*EPX11*02*2;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX11*02*2;2022-12-02T04:30:04+01:00;48.858604,2.384125
1345;En service;16e Arrondissement;FR*V75*PPX16*28;FRV75PPX1628;Paris | Boulevard Delessert 23;75116.0;Voirie;7;23/09/2021;Acces libre;23 Boulevard Delessert 75016 Paris;TRUE;https://belib.paris;19/10/2021;Non accessible;aucune restriction;FALSE;7.0;24-juil;Prise type EF;48.85857;2.2851212;FR*V75*EPX10*02*4;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX10*02*4;2022-12-02T04:30:04+01:00;48.875076,2.3587236
1346;En service;16e Arrondissement;FR*V75*PPX16*28;FRV75PPX1628;Paris | Boulevard Delessert 23;75116.0;Voirie;7;23/09/2021;Acces libre;23 Boulevard Delessert 75016 Paris;TRUE;https://belib.paris;19/10/2021;Non accessible;aucune restriction;FALSE;7.0;24-juil;Prise type EF;48.85857;2.2851212;FR*V75*EPX11*04*1;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX11*04*1;2022-12-02T04:30:04+01:00;48.857796,2.390264
1347;En service;17e Arrondissement;FR*V75*PPX17*16;FRV75PPX1716;Paris | Rue Navier 47;75117.0;Voirie;7;23/09/2021;Acces libre;47 Rue Navier 75017 Paris;TRUE;https://belib.paris;23/11/2021;Non accessible;aucune restriction;FALSE;7.0;24-juil;Prise type EF;48.895756;2.3242009;FR*V75*EPX17*02*4;Occupee (en charge);https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX17*02*4;2022-12-02T04:30:04+01:00;48.88112,2.284095
1348;En service;16e Arrondissement;FR*V75*PPX16*30;FRV75PPX1630;Paris | Rue de la Pompe 137;75116.0;Voirie;7;23/09/2021;Acces libre;137 Rue de la Pompe 75016 Paris;TRUE;https://belib.paris;03/11/2021;Non accessible;aucune restriction;FALSE;7.0;24-juil;Prise type EF;48.867313;2.280347;FR*V75*EPX10*03*1;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX10*03*1;2022-12-02T04:30:04+01:00;48.87237,2.366288
1349;En service;17e Arrondissement;FR*V75*PPX17*19;FRV75PPX1719;Paris | Rue Breemontier 19;75117.0;Voirie;7;23/09/2021;Acces libre;19 Rue Breemontier 75017 Paris;TRUE;https://belib.paris;14/12/2021;Non accessible;aucune restriction;FALSE;7.0;24-juil;Prise type EF;48.884953;2.3035011;FR*V75*EPX19*02*7;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX19*02*7;2022-12-02T04:30:04+01:00;48.888195,2.37308
1350;En service;17e Arrondissement;FR*V75*PPX17*22;FRV75PPX1722;Paris | Avenue de Niel 28;75117.0;Voirie;5;23/09/2021;Acces libre;28 Avenue de Niel 75017 Paris;TRUE;https://belib.paris;23/11/2021;Non accessible;aucune restriction;FALSE;7.0;24-juil;Prise type EF;48.88103;2.2956283;FR*V75*EPX18*05*2;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX18*05*2;2022-12-02T04:30:04+01:00;48.88836,2.3480344
1351;En service;17e Arrondissement;FR*V75*PPX17*23;FRV75PPX1723;Paris | Avenue de la Porte de Villiers 28;75117.0;Voirie;6;23/09/2021;Acces libre;28 Avenue de la Porte de Villiers 75017 Paris;TRUE;https://belib.paris;01/12/2021;Non accessible;aucune restriction;FALSE;7.0;24-juil;Prise type EF;48.885426;2.2849722;FR*V75*EPX04*06*6;Occupee (en charge);https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX04*06*6;2022-12-02T04:30:04+01:00;48.8542,2.345341
1352;En service;17e Arrondissement;FR*V75*PPX17*25;FRV75PPX1725;Paris | boulevard Pereire 170;75117.0;Voirie;6;23/09/2021;Acces libre;170 boulevard Pereire 75017 Paris;TRUE;https://belib.paris;04/11/2022;Non accessible;aucune restriction;FALSE;7.0;24-juil;Prise type EF;48.882423;2.2922037;FR*V75*EPX07*10*4;Inconnu;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX07*10*4;2022-12-02T04:30:04+01:00;48.851128,2.3106372
1353;En service;17e Arrondissement;FR*V75*PPX17*25;FRV75PPX1725;Paris | boulevard Pereire 170;75117.0;Voirie;6;23/09/2021;Acces libre;170 boulevard Pereire 75017 Paris;TRUE;https://belib.paris;23/11/2021;Non accessible;aucune restriction;FALSE;7.0;24-juil;Prise type EF;48.882423;2.2922037;FR*V75*EPX09*06*1;Disponible;https://parisdata.opendatasoft.com/explore/dataset/belib-points-de-recharge-pour-vehicules-electriques-donnees-statiques/table/?disjunctive.nbre_pdc&disjunctive.accessibilite&disjunctive.horaires_sav&disjunctive.postal_code&disjunctive.acces_recharge&disjunctive.type_prise&disjunctive.puiss_max&q=FR*V75*EPX09*06*1;2022-12-02T04:30:04+01:00;48.87359,2.3466527
